platform,profile_id,cycle,timestamp,longitude,latitude,pressure_dbar,pressure_qc,temperature_c,temperature_qc,salinity_psu,salinity_qc,chla_mg_m3,chla_qc,nitrate_umol_kg,nitrate_qc,ph_in_situ_total,ph_qc,doxy_umol_kg,doxy_qc,bbp700_m1,bbp700_qc
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,191.729996,1,,,,,0.003013,1,3.762748,1,8.045327,1,212.835739,1,0.000403,1
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,192.229996,1,17.591,1,34.709,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,194.229996,1,17.586,1,34.708,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,196.229996,1,17.573999,1,34.708,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,198.229996,1,17.57,1,34.707001,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,200.229996,1,17.568001,1,34.707001,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,202,1,,,,,0.003013,1,3.690322,1,8.043939,1,212.37413,1,0.000296,1
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,202.229996,1,17.559,1,34.706001,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,204.229996,1,17.542999,1,34.705002,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,206.229996,1,17.535,1,34.705002,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,208.229996,1,17.511999,1,34.702999,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,210.229996,1,17.481001,1,34.702,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,211.409988,1,,,,,0,1,4.096899,1,8.042156,1,212.4841,1,0.000285,1
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,212.229996,1,17.462999,1,34.700001,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,214.229996,1,17.458,1,34.700001,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,216.229996,1,17.441,1,34.699001,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,218.229996,1,17.415001,1,34.696999,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,220.229996,1,17.403,1,34.696999,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,221.830002,1,,,,,0,1,3.980208,1,8.040068,1,212.645325,1,0.000296,1
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,222.229996,1,17.393,1,34.695,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,224.229996,1,17.392,1,34.695,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,226.229996,1,17.382999,1,34.695,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,228.229996,1,17.35,1,34.693001,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,230.229996,1,17.33,1,34.692001,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,231.300003,1,,,,,0,1,4.405589,1,8.038624,1,213.425354,1,0.000273,1
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,232.229996,1,17.311001,1,34.689999,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,234.229996,1,17.296,1,34.689999,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,236.229996,1,17.281,1,34.688,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,238.229996,1,17.268999,1,34.688,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,240.229996,1,17.239,1,34.686001,1,,,,,,,,,,
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,241.769989,1,,,,,0.003013,1,4.132955,1,8.038533,1,212.789398,1,0.000284,1
5906518,5906518_153,153,2026-08-25T01:00:41.000Z,144.0495,34.203,242.229996,1,17.23,1,34.685001,1,,,,,,,,,,
